[2024-05-22 14:19:01,387::train::INFO] [Validation] Iter 53800 | reward 0.712602
[2024-05-22 14:45:14,390::train::INFO] [Validation] Iter 54000 | reward 0.632455
[2024-05-22 15:07:37,520::train::INFO] [Validation] Iter 54200 | reward 0.706661
[2024-05-22 15:29:16,777::train::INFO] [Validation] Iter 54400 | reward 0.682409
[2024-05-22 15:53:51,657::train::INFO] [Validation] Iter 54600 | reward 0.698347
[2024-05-22 16:20:56,158::train::INFO] [Validation] Iter 54800 | reward 0.686191
[2024-05-22 16:44:36,967::train::INFO] [Validation] Iter 55000 | reward 0.741203
[2024-05-22 17:09:17,933::train::INFO] [Validation] Iter 55200 | reward 0.727332
[2024-05-22 17:37:45,190::train::INFO] [Validation] Iter 55400 | reward 0.640623
[2024-05-22 18:04:15,415::train::INFO] [Validation] Iter 55600 | reward 0.716443
[2024-05-22 18:26:22,022::train::INFO] [Validation] Iter 55800 | reward 0.676530
[2024-05-22 18:49:18,913::train::INFO] [Validation] Iter 56000 | reward 0.659268
[2024-05-22 19:15:47,131::train::INFO] [Validation] Iter 56200 | reward 0.597911
[2024-05-22 19:38:13,337::train::INFO] [Validation] Iter 56400 | reward 0.702054
[2024-05-22 20:00:01,868::train::INFO] [Validation] Iter 56600 | reward 0.711418
[2024-05-22 20:22:14,769::train::INFO] [Validation] Iter 56800 | reward 0.692020
[2024-05-22 20:49:11,793::train::INFO] [Validation] Iter 57000 | reward 0.683778
[2024-05-22 21:14:29,010::train::INFO] [Validation] Iter 57200 | reward 0.676331
[2024-05-22 21:36:41,271::train::INFO] [Validation] Iter 57400 | reward 0.638168
[2024-05-22 22:03:01,244::train::INFO] [Validation] Iter 57600 | reward 0.635605
[2024-05-22 22:26:05,946::train::INFO] [Validation] Iter 57800 | reward 0.625877
[2024-05-22 22:47:33,456::train::INFO] [Validation] Iter 58000 | reward 0.721418
[2024-05-22 23:08:48,662::train::INFO] [Validation] Iter 58200 | reward 0.675730
[2024-05-22 23:31:14,960::train::INFO] [Validation] Iter 58400 | reward 0.686048
[2024-05-22 23:58:23,895::train::INFO] [Validation] Iter 58600 | reward 0.653869
[2024-05-23 00:21:26,899::train::INFO] [Validation] Iter 58800 | reward 0.632180
[2024-05-23 00:43:08,397::train::INFO] [Validation] Iter 59000 | reward 0.656927
[2024-05-23 01:04:51,156::train::INFO] [Validation] Iter 59200 | reward 0.667899
[2024-05-23 01:31:53,545::train::INFO] [Validation] Iter 59400 | reward 0.635655
[2024-05-23 01:55:25,890::train::INFO] [Validation] Iter 59600 | reward 0.617726
[2024-05-23 02:16:57,542::train::INFO] [Validation] Iter 59800 | reward 0.671969
[2024-05-23 02:38:00,072::train::INFO] [Validation] Iter 60000 | reward 0.718852
[2024-05-23 02:59:02,537::train::INFO] [Validation] Iter 60200 | reward 0.665504
[2024-05-23 03:20:07,411::train::INFO] [Validation] Iter 60400 | reward 0.687764
[2024-05-23 03:40:28,725::train::INFO] [Validation] Iter 60600 | reward 0.673107
[2024-05-23 04:00:51,328::train::INFO] [Validation] Iter 60800 | reward 0.709637
[2024-05-23 04:21:03,902::train::INFO] [Validation] Iter 61000 | reward 0.655730
[2024-05-23 04:41:22,733::train::INFO] [Validation] Iter 61200 | reward 0.625618
[2024-05-23 05:01:33,876::train::INFO] [Validation] Iter 61400 | reward 0.662529
[2024-05-23 05:21:50,981::train::INFO] [Validation] Iter 61600 | reward 0.646521
[2024-05-23 05:42:03,142::train::INFO] [Validation] Iter 61800 | reward 0.644029
[2024-05-23 06:02:13,453::train::INFO] [Validation] Iter 62000 | reward 0.622636
[2024-05-23 06:22:28,429::train::INFO] [Validation] Iter 62200 | reward 0.661870
[2024-05-23 06:42:43,679::train::INFO] [Validation] Iter 62400 | reward 0.718258
[2024-05-23 07:02:55,992::train::INFO] [Validation] Iter 62600 | reward 0.605951
[2024-05-23 07:23:13,688::train::INFO] [Validation] Iter 62800 | reward 0.694466
[2024-05-23 07:43:32,416::train::INFO] [Validation] Iter 63000 | reward 0.718920
[2024-05-23 08:04:13,901::train::INFO] [Validation] Iter 63200 | reward 0.673188
[2024-05-23 08:24:51,359::train::INFO] [Validation] Iter 63400 | reward 0.619894
[2024-05-23 08:45:21,993::train::INFO] [Validation] Iter 63600 | reward 0.615280
[2024-05-23 09:05:59,878::train::INFO] [Validation] Iter 63800 | reward 0.637608
